identity;dept;clage90;valuedate;valuePDivT;speedPDivT;accelerationPDivT
WPCR-255475;91;0;2020-08-31T00:00;0,050448403729;-0,00118649962;-0,003870639939
WPCR-255486;91;0;2020-09-01T00:00;0,051085914979;0,000637511251;0,001824010871
WPCR-255497;91;0;2020-09-02T00:00;0,052864651366;0,001778736387;0,001141225136
WPCR-255508;91;0;2020-09-03T00:00;0,054389266992;0,001524615626;-0,00025412076
WPCR-255519;91;0;2020-09-04T00:00;0,052450691606;-0,001938575386;-0,003463191012
WPCR-255530;91;0;2020-09-05T00:00;0,049495423527;-0,00295526808;-0,001016692694
WPCR-255541;91;0;2020-09-06T00:00;0,045622944092;-0,003872479434;-0,000917211355
WPCR-255552;91;0;2020-09-07T00:00;0,050172282449;0,004549338357;0,008421817791
WPCR-255563;91;0;2020-09-08T00:00;0,053756724149;0,0035844417;-0,000964896657
WPCR-255574;91;0;2020-09-09T00:00;0,058480245552;0,004723521403;0,001139079703
WPCR-255585;91;0;2020-09-10T00:00;0,061636909583;0,003156664031;-0,001566857372
WPCR-255596;91;0;2020-09-11T00:00;0,058674638809;-0,002962270774;-0,006118934805
WPCR-255607;91;0;2020-09-12T00:00;0,055891152679;-0,00278348613;0,000178784645
WPCR-255618;91;0;2020-09-13T00:00;0,049304135603;-0,006587017076;-0,003803530946
WPCR-255629;91;0;2020-09-14T00:00;0,055748573818;0,006444438215;0,013031455291
WPCR-255640;91;0;2020-09-15T00:00;0,063946459954;0,008197886136;0,00175344792
WPCR-255651;91;0;2020-09-16T00:00;0,070508363661;0,006561903707;-0,001635982428
WPCR-255662;91;0;2020-09-17T00:00;0,070883950374;0,000375586712;-0,006186316995
WPCR-255673;91;0;2020-09-18T00:00;0,07697462315;0,006090672777;0,005715086064
WPCR-255684;91;0;2020-09-19T00:00;0,085350199943;0,008375576793;0,002284904016
WPCR-255695;91;0;2020-09-20T00:00;0,081463623257;-0,003886576686;-0,012262153478
WPCR-255706;91;0;2020-09-21T00:00;0,087811323628;0,00634770037;0,010234277056
WPCR-255717;91;0;2020-09-22T00:00;0,087821059399;0,000009735771;-0,006337964599
WPCR-255728;91;0;2020-09-23T00:00;0,104841771784;0,017020712385;0,017010976613
WPCR-255739;91;0;2020-09-24T00:00;0,09910995112;-0,005731820664;-0,022752533048
