TEMPORAL;AMPLITUDE;AMPLITUDE_REAL;AMPLITUDE_IMAGINARY
0;0,09362296363411819;0,09362296363411819;0
1;0,021040314166684608;-0,021040314166684608;0,00000000000000000396
2;0,0040313710710278014;0,0040313710710278014;-0,00000000000000002055
3;0,027801926937762754;-0,027801926937762754;0,00000000000000001605
4;0,0011786969282262492;0,0011786969282262492;-0,00000000000000002212
5;0,007305404322778183;0,007305404322778183;0,00000000000000002206
6;0,009860510839562974;-0,009860510839562974;-0,0000000000000000103
7;0,012024588484641116;0,012024588484641116;0,00000000000000000661
8;0,0007418658286240797;-0,0007418658286240797;-0,00000000000000001567
9;0,0012661676826143326;0,0012661676826143326;-0,00000000000000000437
10;0,00041763732498982666;0,00041763732498982666;-0,000000000000000009
11;0,008848335906501309;-0,008848335906501309;0,00000000000000000488
12;0,00024280790603383283;0,00024280790603383283;-0,00000000000000000678
13;0,005102758856707963;-0,005102758856707963;0,00000000000000000065
14;0,013616066870830735;0,013616066870830735;-0,00000000000000000867
15;0,001700250525583004;-0,001700250525583004;0,00000000000000000289
16;0,0006746522504370519;-0,0006746522504370519;-0,00000000000000001361
17;0,0027550308772303408;-0,0027550308772303408;0,00000000000000000645
18;0,0023873409956119756;-0,0023873409956119756;-0,00000000000000000862
19;0,004223383918676405;0,004223383918676405;0,00000000000000000911
20;0,006089506439007955;-0,006089506439007955;-0,00000000000000000043
21;0,009005739262496636;0,009005739262496636;0,00000000000000000108
22;0,002185715300153797;-0,002185715300153797;-0,00000000000000000217
23;0,0014824767683701348;0,0014824767683701348;-0,00000000000000000396
24;0,0028224043289112833;-0,0028224043289112833;-0,00000000000000000352
25;0,005803017472690955;-0,005803017472690955;-0,00000000000000000824
26;0,006554651957867216;0,006554651957867216;-0,00000000000000000325
27;0,005520400587431819;-0,005520400587431819;-0,00000000000000000561
28;0,012026433317119674;0,012026433317119674;-0,00000000000000001084
29;0,0061146462154151645;-0,0061146462154151645;0,00000000000000000141
30;0,0020569218293555354;0,0020569218293555354;-0,00000000000000000759
31;0,006604485992011777;-0,006604485992011777;0,0000000000000000154
32;0,0034597704772974082;-0,0034597704772974082;-0,00000000000000000304
33;0,0017627767519162504;0,0017627767519162504;0,00000000000000001084
34;0,002489678966018136;0,002489678966018136;-0,0000000000000000058
35;0,0063543611948842105;0,0063543611948842105;0,00000000000000000477
36;0,004648511688871687;-0,004648511688871687;-0,00000000000000000412
37;0,003480831190602729;-0,003480831190602729;-0,00000000000000000239
38;0,0008615832796677133;-0,0008615832796677133;-0,00000000000000000173
39;0,002922161357832873;0,002922161357832873;0,0000000000000000006
40;0,00000469453218655087;0,00000469453218655087;-0,00000000000000000889
41;0,002227853364852742;-0,002227853364852742;0,00000000000000000119
42;0,002908374736282942;0,002908374736282942;-0,00000000000000000325
43;0,00008832053431820277;-0,00008832053431820277;-0,00000000000000000054
44;0,0020720501965255135;0,0020720501965255135;-0,00000000000000000065
45;0,0018104923677957597;-0,0018104923677957597;0,00000000000000000152
46;0,00028886872937160203;-0,00028886872937160203;-0,00000000000000000358
47;0,0036021640152491315;0,0036021640152491315;-0,00000000000000000087
48;0,003850671017533971;-0,003850671017533971;-0,00000000000000000651
49;0,002928352879167059;0,002928352879167059;-0,00000000000000000168
50;0,005229111857118363;-0,005229111857118363;-0,00000000000000000119
51;0,004861344781359606;0,004861344781359606;-0,00000000000000000889
52;0,004231846236911979;-0,004231846236911979;0,00000000000000000358
53;0,0008442403449536836;-0,0008442403449536836;-0,00000000000000000526
54;0,0014506542613268122;-0,0014506542613268122;0,00000000000000000415
55;0,0017421256413454164;0,0017421256413454164;-0,00000000000000000667
56;0,008372766855949893;0,008372766855949893;0,00000000000000001008
57;0,004941047620114918;-0,004941047620114918;-0,0000000000000000019
58;0,001862889719713766;0,001862889719713766;0,00000000000000000824
59;0,007120859800596494;-0,007120859800596494;0,00000000000000000331
