departement;type1;debutcouvre1;fincouvre1;detailhours1;type2;debutcouvre2;fincouvre2;detailhours2;type3;debutcouvre3;fincouvre3;detailhours3;type4;debutcouvre4;fincouvre4;detailhours4
75;couvrefeu;17/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
76;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
77;couvrefeu;17/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
78;couvrefeu;17/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
79;;;;;couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
80;;;;;couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
81;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
82;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
83;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;12/01/2021;;"18:00;06:00"
84;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;10/01/2021;;"18:00;06:00"
85;;;;;couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
86;;;;;couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
87;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
88;;;;;couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;02/01/2021;;"18:00;06:00"
89;;;;;couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
90;;;;;couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;02/01/2021;;"18:00;06:00"
91;couvrefeu;17/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
92;couvrefeu;17/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
93;couvrefeu;17/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
94;couvrefeu;17/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
95;couvrefeu;17/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
971;;;;;;;;;;;;;;;;
972;confinement;30/10/2020;15/12/2020;;couvrefeuallegeplageetalcool;15/12/2020;24/12/2020;"19:00;06:00";couvrefeuallegeplageetalcool;25/12/2020;15/01/2021;"19:00;06:00";couvrefeuallegeplageetalcool;16/01/2021;;"19:00;06:00"
972;;;;;couvrefeuallegerestauration;15/12/2020;24/12/2020;"24:00;06:00";couvrefeuallegerestauration;25/12/2020;15/01/2021;"24:00;06:00";couvrefeuallegerestauration;16/01/2021;;"24:00;06:00"
973;;;;;;;;;;;;;;;;
974;;;;;;;;;;;;;;;;
975;;;;;;;;;;;;;;;;
976;;;;;;;;;;;;;;;;
977;;;;;;;;;;;;;;;;
978;;;;;;;;;;;;;;;;
2A;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
2B;couvrefeu;22/10/2020;30/10/2020;"21:00;06:00";couvrefeu;15/12/2020;24/12/2020;"20:00;06:00";couvrefeu;25/12/2020;15/01/2021;"20:00;06:00";couvrefeu;16/01/2021;;"18:00;06:00"
